category_key,category_label,value,display,definition
route,Administration route,oral,Oral,Taken by mouth (a pill capsule or liquid that is swallowed).
route,Administration route,subcutaneous,Subcutaneous,Injected into the fatty layer just under the skin (like most insulin pens).
route,Administration route,intravenous,Intravenous (IV),Delivered straight into a vein through a drip or line so it enters the bloodstream immediately.
route,Administration route,intraperitoneal,Intraperitoneal (IP),Injected into the belly cavity around the organs — a lab method used mainly in animal studies.
route,Administration route,topical,Topical,Applied to the surface of the skin (a cream gel or patch).
route,Administration route,inhaled,Inhaled,Breathed in as a spray or mist so it reaches the lungs.
study_type,Study type,rct,Randomized controlled trial,People are randomly assigned to the treatment or a comparison group — the strongest way to test if something works in humans.
study_type,Study type,observational,Observational study,Researchers watch what happens in real-world use without assigning treatments — useful but more prone to bias than a trial.
study_type,Study type,systematic_review,Systematic review,A structured search that gathers and appraises all studies on a question.
study_type,Study type,meta_analysis,Meta-analysis,Statistically pools results from many studies into one combined estimate.
study_type,Study type,guideline,Practice guideline,Formal recommendations issued by an expert body summarizing the evidence for clinicians.
study_type,Study type,in_vivo,Animal (in vivo),Done in living animals — an early step before human testing.
study_type,Study type,in_vitro,Lab / cell (in vitro),Done in cells or a test tube outside a living body — the earliest kind of evidence.
study_type,Study type,case_report,Case report / series,A description of one or a few individual patients — hypothesis-generating not proof.
study_type,Study type,narrative_review,Narrative review,An expert overview of a topic that is not a systematic search — useful for context but more subjective.
model_system,Study model,human,Human,The study was conducted in people.
model_system,Study model,animal,Animal,The study was conducted in living animals.
model_system,Study model,mouse,Mouse,Conducted in mice — a common early-stage animal model.
model_system,Study model,rat,Rat,Conducted in rats — a common early-stage animal model.
model_system,Study model,nonhuman_primate,Non-human primate,Conducted in monkeys — closer to humans than rodents so often more translatable.
model_system,Study model,in_vitro,Lab / cell,Conducted in isolated cells or tissue outside a living body.
species,Species,human,Human,Studied in people.
species,Species,mouse,Mouse,Studied in mice.
species,Species,rat,Rat,Studied in rats.
species,Species,nonhuman_primate,Non-human primate,Studied in monkeys — biologically closer to humans than rodents.
species,Species,pig,Pig,Studied in pigs — sometimes used because organs resemble human ones.
species,Species,dog,Dog,Studied in dogs.
species,Species,rabbit,Rabbit,Studied in rabbits.
species,Species,zebrafish,Zebrafish,Studied in zebrafish — a small fish used for fast early screening.
species,Species,drosophila,Fruit fly,Studied in fruit flies — used in basic biology and aging research.
species,Species,c_elegans,Roundworm (C. elegans),Studied in a tiny worm — used in basic biology and aging research.
species,Species,cell_line,Cell line / in vitro,Studied in cultured cells rather than a whole organism.
sex,Sex studied,female,Female,The study included or focused on female subjects.
sex,Sex studied,male,Male,The study included or focused on male subjects.
sex,Sex studied,both_sexes,Both sexes,The study included both male and female subjects.
population,Population,older_adults,Older adults,Focused on older or elderly participants.
population,Population,pediatric,Children,Focused on infants children or adolescents.
population,Population,women_pregnancy,Women / pregnancy,Focused on women or pregnancy-related settings.
