molecule_id,display_name,class,rationale,status,example_search_terms
survodutide,Survodutide,glucagon_glp1_dual_agonist,"GLP-1/glucagon dual agonist (BI 456906) in phase 3 for obesity and MASH; strong recent weight-loss and liver data",experimental,"Survodutide; BI 456906; BI-456906; glucagon GLP-1 dual agonist"
mazdutide,Mazdutide,glucagon_glp1_dual_agonist,"GLP-1/glucagon dual agonist (IBI362/OXM analog) with obesity and T2D trials, esp. in China",experimental,"Mazdutide; IBI362; IBI-362; OXM analog"
cagrisema,CagriSema,amylin_glp1_combo,"Fixed-dose cagrilintide + semaglutide combination; leading obesity combination candidate",experimental,"CagriSema; cagrilintide semaglutide; amylin GLP-1 combination"
danuglipron,Danuglipron,glp1ra_oral,"Oral small-molecule GLP-1 receptor agonist (Pfizer PF-06882961); oral incretin class of interest",experimental,"Danuglipron; PF-06882961; oral GLP-1 receptor agonist"
orforglipron,Orforglipron,glp1ra_oral,"Oral non-peptide GLP-1 receptor agonist (LY3502970); pivotal oral incretin candidate",experimental,"Orforglipron; LY3502970; LY-3502970; oral GLP-1 agonist"
retatrutide_analogs,Retatrutide-class triagonists,incretin_triagonist,"GLP-1/GIP/glucagon triagonists beyond retatrutide; frontier of incretin polypharmacology",experimental,"triagonist obesity; GLP-1 GIP glucagon triagonist; tri-agonist peptide"
bimagrumab,Bimagrumab,activin_receptor_antibody,"Anti-ActRII antibody increasing lean mass / reducing fat; muscle-preserving weight loss",experimental,"Bimagrumab; BYM338; activin receptor type II antibody"
mots_c,MOTS-c,mitochondrial_derived_peptide,"Mitochondrial-derived peptide with metabolic and exercise-mimetic effects; longevity interest",experimental,"MOTS-c; MOTSc; mitochondrial-derived peptide"
humanin,Humanin,mitochondrial_derived_peptide,"Mitochondrial-derived peptide, cytoprotective and metabolic; aging/neuroprotection",experimental,"Humanin; MTRNR2; mitochondrial-derived peptide"
epitalon,Epitalon,pineal_bioregulator_peptide,"Khavinson tetrapeptide (Ala-Glu-Asp-Gly) claimed telomerase/anti-aging effects; needs evidence audit",experimental,"Epitalon; Epithalon; Epithalamin; AEDG peptide"
bpc_157,BPC-157,wound_healing_actin_peptide,"Body Protection Compound; widely used research peptide for tendon/gut repair; sparse clinical data",experimental,"BPC-157; BPC157; Body Protection Compound-157"
thymosin_beta_4,Thymosin beta-4,wound_healing_actin_peptide,"Actin-sequestering regenerative peptide; wound healing, cardiac and tissue repair",experimental,"Thymosin beta-4; TB-500; TB4; TB-4"
nmn,Nicotinamide mononucleotide (NMN),nad_precursor,"NAD+ precursor studied for metabolic aging; growing human trials",experimental,"Nicotinamide mononucleotide; NMN; NAD precursor"
urolithin_a,Urolithin A,mitophagy_modulator,"Gut-microbiome metabolite inducing mitophagy; muscle and mitochondrial health trials",experimental,"Urolithin A; mitophagy; Mitopure"
pemvidutide,Pemvidutide,glucagon_glp1_dual_agonist,"GLP-1/glucagon dual agonist (ALT-801) for MASH and obesity",experimental,"Pemvidutide; ALT-801; ALT 801; GLP-1 glucagon dual agonist"
