source_file,source_axis,source_value,target_terms,action,reason
FACETS.csv,species,human,legacy_species:human,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,mouse,legacy_species:mouse,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,rat,legacy_species:rat,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,nonhuman_primate,legacy_species:nonhuman_primate,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,pig,legacy_species:pig,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,dog,legacy_species:dog,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,rabbit,legacy_species:rabbit,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,zebrafish,legacy_species:zebrafish,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,drosophila,legacy_species:drosophila,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,c_elegans,legacy_species:c_elegans,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,species,cell_line,legacy_species:cell_line;experimental_system:cell_line,move_review,Cell system is not a species; examine source for system subtype and organism of origin.
FACETS.csv,indication,obesity_weight,legacy_indication:obesity_weight,split_review,"Condition and outcome concepts require separate, source-supported annotations."
FACETS.csv,indication,diabetes_glycemic,legacy_indication:diabetes_glycemic,split_review,"Condition and outcome concepts require separate, source-supported annotations."
FACETS.csv,indication,liver_mash,legacy_indication:liver_mash,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,indication,cardiovascular,legacy_indication:cardiovascular,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
FACETS.csv,indication,kidney,legacy_indication:kidney,retain_topic,Retain for compatibility; do not auto-promote to a studied/measured assertion.
