evidence_id,pmid,molecule_id,stratum,title,review_status,reviewer,reviewed_on,review_basis,notes
41833222:tirzepatide:tirzepatide_strict_tiab_v1,41833222,tirzepatide,RCT,"ARD-101, a gut-restricted TAS2R agonist, reduces hunger in adults and promotes weight loss in DIO mice with DPP-4 inhibition.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Mixed clinical and mouse experiments; keep experiments separate before attributing tirzepatide results to adults.
39497468:tirzepatide:tirzepatide_strict_tiab_v1,39497468,tirzepatide,RCT,Association between weight reduction achieved with tirzepatide and quality of life in adults with obesity: Results from the SURMOUNT-1 study.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Secondary patient-reported outcome analysis of SURMOUNT-1; physical function and quality-of-life vocabulary coverage remains incomplete.
40897974:rapamycin:rapamycin_strict_tiab_v1,40897974,rapamycin,RCT,Targeting dormant tumor cells to prevent recurrent breast cancer: a randomized phase 2 trial.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Mouse experiments and randomized human trial coexist; require mixed scope and experiment-specific findings.
40421736:mazdutide:mazdutide_strict_tiab_v1,40421736,mazdutide,RCT,Once-Weekly Mazdutide in Chinese Adults with Obesity or Overweight.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Human phase 3 trial; obesity, measured body weight, and adverse events supported. Arm-level estimates can be extracted without inferring contrasts."
41964386:methylene_blue:methylene_blue_strict_tiab_v1,41964386,methylene_blue,RCT,"Methylene Blue Mouthwash for Oral Mucositis Pain in Cancer: An Open-Label, Non-Randomized Study.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Explicit non-randomized title and Methods contradict legacy RCT; pain and oral mucositis need narrower terms. Cancer describes the patient context.
40977385:glutathione:glutathione_strict_tiab_v1,40977385,glutathione,RCT,Examination of oxidative stress and glutamate as potential mechanisms of N-acetylcysteine in the treatment of non-suicidal self-injury in young people assigned female at birth: randomised trial.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Human trial of NAC with glutathione as biomarker; NSSI, brain metabolites and MRI outcomes need vocabulary expansion."
41045028:metformin:metformin_strict_tiab_v1,41045028,metformin,Human observational,Early gestational diabetes mellitus versus late gestational diabetes mellitus: Maternal and neonatal outcomes in a retrospective cohort in Asian Indians.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human gestational diabetes cohort; distinguish gestational from type 2 diabetes. Maternal and neonatal outcomes currently outside starter terms.
40110873:glutathione:glutathione_strict_tiab_v1,40110873,glutathione,Human observational,Lipid Peroxidation and Glutathione Levels Among People Living With HIV Co-infected With Human Coronaviruses in Ghana.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Human HIV/coronavirus cohort; glutathione is a measured biomarker, not administered treatment. Expand biomarker and infectious-condition terms."
40146920:tirzepatide:tirzepatide_strict_tiab_v1,40146920,tirzepatide,Human observational,Glucagon-Like Peptide-1 Receptor Agonists Combined With Personalized Digital Health Care for the Treatment of Metabolic Syndrome in Adults With Obesity: Retrospective Observational Study.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human observational obesity study; blood pressure and glucose outcomes present but conservative rules miss result phrasings.
40434754:rapamycin:rapamycin_strict_tiab_v1,40434754,rapamycin,Human observational,Characteristics and Therapeutic Strategies for Diffuse Cutaneous Mastocytosis.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Pediatric mastocytosis cohort; add specific condition and anaphylaxis outcomes; source includes treatment and natural-history observations.
41840522:metformin:metformin_strict_tiab_v1,41840522,metformin,Human observational,Relationship between continuous maternal intrapartum and postpartum glucose monitoring metrics and neonatal outcomes and postpartum glucose metabolism in individuals with gestational diabetes.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human gestational diabetes study; measured glucose and neonatal outcomes require broader vocabulary and extraction patterns.
41464784:tirzepatide:tirzepatide_strict_tiab_v1,41464784,tirzepatide,Human observational,"Guts, Glucose, and Gallbladders: The Protective Role of GLP-1/GIP Receptor Agonists Against Biliary Complications in Patients with Type 2 Diabetes and Inflammatory Bowel Disease.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human T2DM/IBD cohort; T2DM context supported. Add IBD and distinct biliary outcomes; contrast directions need careful attribution.
40060562:vip:vip_strict_tiab_v1,40060562,vip,Animal in vivo,Inhibitory and disinhibitory VIP IN-mediated circuits in neocortex.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Neural circuit experiment; organism not explicit in abstract. Retain inherited nonclinical scope as unverified metadata.
40102879:vip:vip_strict_tiab_v1,40102879,vip,Animal in vivo,Shengui Sansheng San alleviates the worsening of blood-brain barrier integrity resulted from delayed tPA administration through VIP/VIPR1 pathway.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Mouse stroke model plus cultured cells; experimental systems should be multi-valued; no human study is established by background patients.
