term_id,axis,value,label,definition,parents,inclusion_rule,exclusion_rule,example,counterexample,status,version
research_area:metabolic_endocrine,research_area,metabolic_endocrine,Metabolic and endocrine,Overlapping browsing collection for metabolic and endocrine research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:cardiovascular,research_area,cardiovascular,Cardiovascular,Overlapping browsing collection for cardiovascular research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:liver_gastrointestinal,research_area,liver_gastrointestinal,Liver and gastrointestinal,Overlapping browsing collection for liver and gastrointestinal research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:kidney,research_area,kidney,Kidney,Overlapping browsing collection for kidney research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:neurological_cognitive,research_area,neurological_cognitive,Neurological and cognitive,Overlapping browsing collection for neurological and cognitive research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:mental_health_sleep,research_area,mental_health_sleep,Mental health and sleep,Overlapping browsing collection for mental health and sleep research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:musculoskeletal,research_area,musculoskeletal,Musculoskeletal and physical function,Overlapping browsing collection for musculoskeletal and physical function research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:skin_repair,research_area,skin_repair,"Skin, wounds and tissue repair","Overlapping browsing collection for skin, wounds and tissue repair research.",,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:immune_inflammatory,research_area,immune_inflammatory,Immune and inflammatory,Overlapping browsing collection for immune and inflammatory research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:infectious,research_area,infectious,Infectious disease,Overlapping browsing collection for infectious disease research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:reproductive,research_area,reproductive,Reproductive and sexual health,Overlapping browsing collection for reproductive and sexual health research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:cancer,research_area,cancer,Cancer,Overlapping browsing collection for cancer research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
research_area:aging_longevity,research_area,aging_longevity,Aging and longevity,Overlapping browsing collection for aging and longevity research.,,"A supported studied condition maps to this area, or a curator documents the research context.",Membership is not evidence of benefit; mechanism keywords alone do not establish a studied use.,A studied condition has this area as a parent.,Marketing claims a benefit in this area without a supporting study.,active,1.0.0
condition_studied:obesity,condition_studied,obesity,Obesity,Obesity as the investigated condition or disease model.,research_area:metabolic_endocrine,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with obesity.,Patients with obesity were excluded.,active,1.0.0
condition_studied:type_2_diabetes,condition_studied,type_2_diabetes,Type 2 diabetes,Type 2 diabetes as the investigated condition or disease model.,research_area:metabolic_endocrine,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with type 2 diabetes.,Patients with type 2 diabetes were excluded.,active,1.0.0
condition_studied:heart_failure,condition_studied,heart_failure,Heart failure,Heart failure as the investigated condition or disease model.,research_area:cardiovascular,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with heart failure.,Patients with heart failure were excluded.,active,1.0.0
condition_studied:hypertension,condition_studied,hypertension,Hypertension,Hypertension as the investigated condition or disease model.,research_area:cardiovascular,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with hypertension.,Patients with hypertension were excluded.,active,1.0.0
condition_studied:chronic_kidney_disease,condition_studied,chronic_kidney_disease,Chronic kidney disease,Chronic kidney disease as the investigated condition or disease model.,research_area:kidney,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with chronic kidney disease.,Patients with chronic kidney disease were excluded.,active,1.0.0
condition_studied:steatohepatitis,condition_studied,steatohepatitis,Steatohepatitis,Steatohepatitis as the investigated condition or disease model.,research_area:liver_gastrointestinal,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with steatohepatitis.,Patients with steatohepatitis were excluded.,active,1.0.0
condition_studied:alzheimer_disease,condition_studied,alzheimer_disease,Alzheimer disease,Alzheimer disease as the investigated condition or disease model.,research_area:neurological_cognitive,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with alzheimer disease.,Patients with alzheimer disease were excluded.,active,1.0.0
condition_studied:depression,condition_studied,depression,Depression,Depression as the investigated condition or disease model.,research_area:mental_health_sleep,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with depression.,Patients with depression were excluded.,active,1.0.0
condition_studied:osteoarthritis,condition_studied,osteoarthritis,Osteoarthritis,Osteoarthritis as the investigated condition or disease model.,research_area:musculoskeletal,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with osteoarthritis.,Patients with osteoarthritis were excluded.,active,1.0.0
condition_studied:sarcopenia,condition_studied,sarcopenia,Sarcopenia,Sarcopenia as the investigated condition or disease model.,research_area:musculoskeletal,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with sarcopenia.,Patients with sarcopenia were excluded.,active,1.0.0
condition_studied:wound,condition_studied,wound,Wound injury,Wound injury as the investigated condition or disease model.,research_area:skin_repair,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with wound injury.,Patients with wound injury were excluded.,active,1.0.0
condition_studied:cancer,condition_studied,cancer,Cancer,Cancer as the investigated condition or disease model.,research_area:cancer,"Explicit population or disease-model wording in the study title, Methods, or Results.","Background, exclusions, possible indications, or a related biomarker alone.",Treatment in patients with cancer.,Patients with cancer were excluded.,active,1.0.0
outcome_measured:body_weight,outcome_measured,body_weight,Body weight,Change or level of body weight; fat mass and BMI require their own measures.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Body weight was measured at baseline and follow-up.,Body weight was not measured.,active,1.0.0
outcome_measured:hba1c,outcome_measured,hba1c,HbA1c,Glycated hemoglobin measurement.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,HbA1c was measured at baseline and follow-up.,HbA1c was not measured.,active,1.0.0
outcome_measured:blood_glucose,outcome_measured,blood_glucose,Blood glucose,Measured glucose concentration.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Blood glucose was measured at baseline and follow-up.,Blood glucose was not measured.,active,1.0.0
outcome_measured:blood_pressure,outcome_measured,blood_pressure,Blood pressure,Measured arterial pressure.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Blood pressure was measured at baseline and follow-up.,Blood pressure was not measured.,active,1.0.0
outcome_measured:liver_histology,outcome_measured,liver_histology,Liver histology,"Tissue-based liver histology, separate from blood biomarkers.",,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Liver histology was measured at baseline and follow-up.,Liver histology was not measured.,active,1.0.0
outcome_measured:liver_enzymes,outcome_measured,liver_enzymes,Liver enzymes,Blood liver enzyme measurement; not histology.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Liver enzymes was measured at baseline and follow-up.,Liver enzymes was not measured.,active,1.0.0
outcome_measured:mortality,outcome_measured,mortality,Mortality,Death outcome in the studied population or model.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Mortality was measured at baseline and follow-up.,Mortality was not measured.,active,1.0.0
outcome_measured:adverse_events,outcome_measured,adverse_events,Adverse events,Reported adverse-event outcome; does not assert causality or overall safety.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Adverse events was measured at baseline and follow-up.,Adverse events was not measured.,active,1.0.0
outcome_measured:physical_function,outcome_measured,physical_function,Physical function,Measured physical function or performance.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Physical function was measured at baseline and follow-up.,Physical function was not measured.,active,1.0.0
outcome_measured:cognitive_function,outcome_measured,cognitive_function,Cognitive function,Measured cognitive performance.,,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Cognitive function was measured at baseline and follow-up.,Cognitive function was not measured.,active,1.0.0
outcome_measured:pharmacokinetics,outcome_measured,pharmacokinetics,Pharmacokinetics,"Pharmacokinetic measurement with metric, matrix, and exposure context needed for findings.",,"Explicit measured, assessed, endpoint, or result language in a current-study sentence.",Background or proposed benefit; a condition term alone; no attribution to a comparison is implied.,Pharmacokinetics was measured at baseline and follow-up.,Pharmacokinetics was not measured.,active,1.0.0
experimental_system:living_human,experimental_system,living_human,Living human,An investigation involving living human participants.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as living human.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:animal_in_vivo,experimental_system,animal_in_vivo,Animal in vivo,An investigation involving living nonhuman animals.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as animal in vivo.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:ex_vivo,experimental_system,ex_vivo,Ex vivo tissue,Tissue investigated outside its organism of origin.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as ex vivo tissue.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:primary_cells,experimental_system,primary_cells,Primary cells,"Cells directly derived from tissue, represented separately from immortalized lines.",,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as primary cells.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:cell_line,experimental_system,cell_line,Cell line / culture,Cell-line or culture system; organism of origin is a separate species field.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as cell line / culture.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:organoid,experimental_system,organoid,Organoid,A three-dimensional organoid experimental model.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as organoid.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:cell_free,experimental_system,cell_free,Cell-free,An experimental system without intact cells.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as cell-free.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:in_silico,experimental_system,in_silico,In silico,A computational experimental model.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,The study identifies its system as in silico.,The introduction mentions other experimental systems.,active,1.0.0
experimental_system:in_vitro_unspecified,experimental_system,in_vitro_unspecified,"In vitro, unspecified",An in-vitro system with insufficient information for a narrower subtype.,,Explicit system in the title or a supported structured model field; machine assignments remain unreviewed.,Do not infer a living-human study from human-derived tissue or cells.,"The study identifies its system as in vitro, unspecified.",The introduction mentions other experimental systems.,active,1.0.0
synthesis_method:systematic_review,synthesis_method,systematic_review,Systematic review,Systematic evidence gathering; can coexist with meta-analysis.,,"Report title, publication type, or structured study type identifies this method.",Do not infer the species of included studies from the synthesis method.,A systematic review and meta-analysis receives both method labels.,An original experiment cites an earlier review.,active,1.0.0
synthesis_method:meta_analysis,synthesis_method,meta_analysis,Meta-analysis,Statistical pooling; can coexist with systematic review.,,"Report title, publication type, or structured study type identifies this method.",Do not infer the species of included studies from the synthesis method.,A systematic review and meta-analysis receives both method labels.,An original experiment cites an earlier review.,active,1.0.0
legacy_species:human,legacy_species,human,Human,Legacy topic tag: Studied in people.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions human.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:mouse,legacy_species,mouse,Mouse,Legacy topic tag: Studied in mice.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mouse.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:rat,legacy_species,rat,Rat,Legacy topic tag: Studied in rats.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions rat.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:nonhuman_primate,legacy_species,nonhuman_primate,Non-human primate,Legacy topic tag: Studied in monkeys — biologically closer to humans than rodents.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions non-human primate.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:pig,legacy_species,pig,Pig,Legacy topic tag: Studied in pigs — sometimes used because organs resemble human ones.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions pig.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:dog,legacy_species,dog,Dog,Legacy topic tag: Studied in dogs.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions dog.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:rabbit,legacy_species,rabbit,Rabbit,Legacy topic tag: Studied in rabbits.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions rabbit.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:zebrafish,legacy_species,zebrafish,Zebrafish,Legacy topic tag: Studied in zebrafish — a small fish used for fast early screening.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions zebrafish.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
