facet_group,facet_value,display_label,patterns,notes
species,human,Human,humans||patients||participants||healthy volunteers||men and women||adults,Also inferred from model_type=human
species,mouse,Mouse,mouse||mice||murine||C57BL||BALB,
species,rat,Rat,rats||rat||Sprague-Dawley||Wistar||Zucker,
species,nonhuman_primate,Non-human primate,monkey||monkeys||macaque||macaques||cynomolgus||rhesus||marmoset||baboon||non-?human primate||nonhuman primate,High-value: NHP translational data
species,pig,Pig,porcine||swine||minipig||pigs,
species,dog,Dog,canine||dogs||beagle,
species,rabbit,Rabbit,rabbit||rabbits||leporine,
species,zebrafish,Zebrafish,zebrafish||danio rerio,
species,drosophila,Drosophila,drosophila||fruit fly,
species,c_elegans,C. elegans,c\. ?elegans||caenorhabditis,
species,cell_line,Cell line / in vitro,cell line||cell culture||in vitro||HEK293||HepG2||C2C12||3T3||SH-SY5Y||organoid||myotube||primary cells,
indication,obesity_weight,Obesity / weight,obesity||overweight||body weight||weight loss||adiposity||fat mass,
indication,diabetes_glycemic,Diabetes / glycemic,diabetes||glycemic||glycaemic||hyperglycemia||HbA1c||insulin resistance||type 2 diabetes||T2D,
indication,liver_mash,Liver / MASH,MASH||NASH||steatohepatitis||fatty liver||hepatic steatosis||liver fibrosis,
indication,cardiovascular,Cardiovascular,cardiovascular||heart failure||atherosclerosis||myocardial||blood pressure||hypertension||stroke,
indication,kidney,Kidney / renal,kidney||renal||CKD||nephropathy||albuminuria,
indication,neurocognitive,Neuro / cognitive,cognition||memory||Alzheimer||Parkinson||dementia||neurodegenerative||depression||anxiety,
indication,oncology,Oncology,cancer||tumor||tumour||carcinoma||leukemia||melanoma||lymphoma||neoplasm,
indication,musculoskeletal,Musculoskeletal,muscle||sarcopenia||tendon||ligament||bone||cartilage||joint||osteoarthritis||atrophy,
indication,inflammation_autoimmune,Inflammation / autoimmune,inflammation||inflammatory||autoimmune||colitis||arthritis||psoriasis||lupus,
indication,reproductive,Reproductive,fertility||sperm||ovary||PCOS||testosterone||menopause||pregnancy,
indication,injury_repair,Injury / repair,injury||wound||healing||repair||ulcer||ischemia||reperfusion||regeneration,
indication,infectious_immunity,Infectious / immunity,infection||bacterial||viral||sepsis||antimicrobial||microbiota||immune,
indication,aging_longevity,Aging / longevity,aging||ageing||longevity||lifespan||senescence||healthspan,
endpoint,body_weight,Body weight,body weight||weight loss||BMI||adiposity||fat mass,
endpoint,glycemic_control,Glycemic control,HbA1c||fasting glucose||glycemic||glycaemic||insulin sensitivity||HOMA,
endpoint,lipids,Lipids / metabolic,cholesterol||triglyceride||LDL||HDL||lipid profile,
